firstName|middleName|lastName|street|city|state|zip|email|phone|birth_date|gpa|start_date
Rose|Claudia|Moon|P.O. Box 361, 7688 Diam Ave|Ketchikan|AK|99885|quis.diam@Aeneansedpede.com|(747) 377-0416|07/05/2020|337|06/12/2021
Flynn|Victoria|Patel|Ap #147-1658 Sed Avenue|Nashville|TN|34039|Sed.neque.Sed@netuset.com|(882) 243-3888|05/07/2021|332|12/04/2020
Kirestin|Noelle|Hewitt|Ap #515-9002 Bibendum Rd.|Toledo|Ohio|62666|fringilla.cursus@quistristiqueac.edu|(866) 527-3403|12/13/2020|349|08/21/2021
Mercedes|Berk|Ingram|Ap #466-1724 Imperdiet, St.|Idaho Falls|Idaho|58607|Duis@adipiscingelit.co.uk|(171) 275-2084|09/08/2021|339|11/19/2021
Kiayada|Harriet|Salas|4598 Eleifend Road|Stamford|CT|22667|nonummy.Fusce.fermentum@aliquetvelvulputate.edu|(982) 810-2637|07/28/2021|326|09/15/2020
Martha|Iliana|Eaton|Ap #157-4961 Lacinia. Avenue|Bear|Delaware|44209|Sed.dictum@Donec.org|(166) 450-0023|09/15/2021|398|01/29/2020
Cody|Ciara|Orr|743-6159 Risus, St.|Henderson|NV|89854|nascetur.ridiculus.mus@quama.edu|(136) 691-7172|10/21/2021|335|07/03/2021
Kerry|Cade|Bell|9479 Metus Rd.|Overland Park|KS|44633|fermentum.risus@fringilla.net|(204) 869-4433|10/14/2020|357|07/16/2020
Carissa|Uriah|Sheppard|165-6595 Natoque St.|Newport News|Virginia|95361|adipiscing.Mauris.molestie@pellentesquetellus.edu|(166) 540-2160|10/21/2020|365|12/20/2020
Kelsie|Bernard|Curtis|Ap #292-7293 Vitae Road|Fort Collins|CO|91526|Sed@Proinsedturpis.ca|(773) 223-9810|12/10/2020|323|03/25/2021
Lionel|Tucker|Vega|P.O. Box 580, 5151 A, Rd.|Hartford|CT|17373|enim.diam.vel@acmattis.com|(536) 182-3285|08/02/2021|369|11/03/2021
Kenyon|Casey|Joseph|Ap #882-8511 Dignissim Rd.|Shreveport|Louisiana|76324|sociis.natoque@Donec.net|(332) 942-9540|03/09/2020|374|05/29/2020
Sopoline|Karleigh|Reyes|316-1967 Laoreet Street|Boston|MA|74130|cursus@id.ca|(496) 405-2915|08/04/2021|365|12/30/2019
Maisie|Bradley|Boyd|Ap #689-3385 Mi Rd.|Tulsa|Oklahoma|54890|ornare.facilisis.eget@augueacipsum.org|(350) 794-8587|07/13/2020|349|06/25/2021
Keefe|Lamar|Valenzuela|565-6427 Dictum Rd.|Virginia Beach|VA|68249|est.ac.mattis@augueSedmolestie.edu|(799) 994-6792|02/16/2021|310|05/24/2020
Ori|Rajah|Hickman|979-8304 Eleifend, Rd.|Cheyenne|WY|32288|erat.Vivamus@Quisque.co.uk|(178) 793-0388|07/25/2021|382|01/27/2020
Hasad|Hakeem|Contreras|982-1076 Mollis Avenue|Tucson|Arizona|86252|dictum@lectusante.edu|(736) 473-9978|12/18/2020|330|09/10/2020
Mari|Nichole|Obrien|Ap #313-142 Dolor. Rd.|San Diego|California|93541|rutrum.justo.Praesent@feugiat.edu|(771) 823-0238|09/09/2020|395|06/28/2020
Aurora|Kaitlin|Hayden|665-6314 Ultricies St.|Bellevue|WA|32501|amet.massa@dis.net|(807) 254-0049|10/08/2020|351|01/15/2021
Bevis|Bree|Byers|4328 Sit Rd.|Allentown|Pennsylvania|42819|et.nunc.Quisque@Morbineque.net|(527) 917-3003|07/10/2021|328|11/03/2020
Sopoline|Amanda|Cotton|692 Lacus. Avenue|Vancouver|Washington|30714|vitae.mauris@nonlacinia.edu|(791) 708-1761|11/11/2021|327|08/27/2021
Herman|Stephanie|Potter|P.O. Box 594, 7505 In, Rd.|Louisville|Kentucky|30370|rhoncus@musProinvel.net|(595) 411-1737|06/06/2021|300|10/15/2020
Aquila|Aubrey|Schneider|949-8352 Faucibus Ave|Cleveland|OH|40579|Fusce@gravidasagittis.edu|(827) 271-9781|09/22/2020|387|01/06/2021
Boris|Xantha|Bonner|153-720 Ut Avenue|Columbia|Maryland|92349|consectetuer.euismod.est@risusMorbimetus.org|(803) 985-0199|02/22/2021|322|05/25/2020
Amity|Martin|Payne|P.O. Box 554, 7240 Ligula. Rd.|Columbia|Missouri|23403|placerat.Cras@consequat.com|(159) 816-8725|10/02/2020|349|05/17/2021
Maryam|Christine|Fuller|527-2280 Hendrerit Ave|Columbus|OH|61073|sapien.cursus.in@orciDonecnibh.ca|(370) 896-9898|01/08/2021|396|04/24/2021
Amos|Priscilla|Fletcher|Ap #279-4867 Accumsan Ave|Iowa City|Iowa|50373|placerat@nequesed.edu|(427) 179-3767|01/19/2021|338|01/20/2021
Amir|Raphael|Barr|P.O. Box 526, 7865 Nibh Road|Reading|PA|24443|ipsum.dolor@ornare.co.uk|(608) 695-7931|05/29/2021|338|07/13/2020
Seth|Xanthus|Garza|9231 Dapibus Rd.|Spokane|WA|45714|Nullam.feugiat.placerat@dictumProin.org|(961) 588-0427|06/17/2021|399|02/23/2021
Martina|Alfreda|Oneal|Ap #750-2204 Morbi Rd.|Sacramento|California|90554|eu@molestieSed.co.uk|(335) 367-9037|01/24/2021|343|05/24/2020
Libby|Colby|Berry|Ap #361-7380 Risus. St.|Auburn|ME|77976|rhoncus@Namporttitorscelerisque.ca|(370) 245-7865|01/18/2021|325|12/08/2020
Quentin|Shoshana|Berg|P.O. Box 964, 6449 Tellus. Rd.|Miami|Florida|59854|arcu.Sed.eu@mauris.co.uk|(676) 857-4245|08/14/2021|364|12/08/2021
Uriah|Thane|Bartlett|8351 Magna Street|Fort Collins|CO|38577|convallis@dignissim.org|(532) 516-6926|10/01/2021|314|10/16/2021
Isaiah|Alexis|Downs|P.O. Box 499, 4207 Volutpat Road|Olathe|Kansas|78267|neque.pellentesque.massa@nuncidenim.net|(150) 730-2509|12/24/2020|313|01/19/2020
Linus|Ivory|Turner|358 Lectus. Rd.|Lafayette|LA|73826|quis@parturientmontes.org|(183) 950-9992|09/26/2020|380|02/06/2021
Barclay|Cameran|Griffith|9261 Nunc Av.|Broken Arrow|Oklahoma|53926|tempus.scelerisque.lorem@enim.com|(161) 634-9376|05/29/2020|354|08/11/2021
India|Ethan|Mendez|Ap #578-7445 Lobortis Road|Evansville|IN|86339|bibendum.sed@cursus.ca|(439) 525-9269|02/14/2020|306|06/18/2021
Myra|Lacota|Horn|Ap #327-455 Metus. Rd.|Reading|PA|83404|ullamcorper.Duis@Donec.com|(126) 684-5833|08/17/2020|377|12/13/2019
Ifeoma|Macey|Lindsey|P.O. Box 296, 3957 Phasellus Av.|Jonesboro|AR|72264|libero.dui.nec@gravidanunc.net|(186) 370-0873|06/23/2021|398|05/07/2021
Briar|Kevin|Davidson|691-4997 Primis Rd.|Reno|NV|39688|tempor.est@neceuismod.ca|(754) 852-4110|11/23/2021|331|05/09/2020
Neve|Mannix|Dominguez|4842 Lobortis Rd.|Fort Worth|TX|78871|cubilia.Curae.Phasellus@sempercursus.co.uk|(735) 408-6120|04/21/2020|398|09/16/2021
Jeanette|Blaze|Brock|1824 Donec St.|Lawton|Oklahoma|95806|Proin@lobortisultricesVivamus.co.uk|(932) 964-6125|08/23/2021|332|04/24/2021
Melodie|Mark|Adkins|564-3276 Turpis St.|Bangor|Maine|12253|purus.in.molestie@Cumsociisnatoque.edu|(200) 253-2896|02/22/2020|368|10/16/2021
Isaiah|Buffy|Petersen|222-5896 Mollis Av.|Hattiesburg|Mississippi|70315|pellentesque@Integer.edu|(593) 673-9617|07/28/2021|381|08/31/2021
Jerome|Martin|Booth|6966 Justo St.|Metairie|Louisiana|35271|sem.egestas.blandit@scelerisquescelerisquedui.edu|(729) 576-1114|08/22/2021|312|06/21/2020
Judith|Basia|Coleman|256-5833 Nulla St.|Henderson|Nevada|25683|Nulla.eget@malesuadavel.edu|(365) 241-7434|09/17/2020|308|02/25/2020
Frances|Shay|Beach|4188 Lacinia Rd.|Juneau|AK|99959|a.facilisis@Suspendissealiquetsem.net|(764) 624-2317|01/03/2020|398|07/07/2020
Kenneth|Kermit|Dotson|Ap #505-1312 Ipsum St.|Rockford|Illinois|40290|laoreet.posuere@ligulaAeneangravida.edu|(816) 403-5481|11/01/2020|347|01/17/2020
Alfonso|Gavin|Berger|743-9570 Vestibulum Rd.|Philadelphia|PA|85375|nunc.sed.pede@arcuiaculisenim.co.uk|(173) 739-6951|12/05/2020|314|05/28/2020
Cara|Keane|Nixon|Ap #657-380 Sapien. Av.|Lowell|Massachusetts|59647|consectetuer.mauris@idsapienCras.ca|(866) 580-8137|11/14/2020|359|06/17/2021
Demetrius|Ina|Espinoza|P.O. Box 595, 1757 Neque Street|Racine|Wisconsin|45761|luctus@Aliquam.org|(691) 656-3064|06/29/2020|353|05/20/2021
Kennan|Dora|Mckenzie|601-5683 Auctor St.|Hillsboro|OR|58202|ut.erat.Sed@vel.com|(402) 159-7570|08/03/2021|357|05/05/2021
Luke|Cole|Hebert|140-4273 Ipsum. Ave|West Valley City|UT|10683|lacus.Etiam.bibendum@faucibusleo.org|(964) 768-7400|12/07/2020|392|10/07/2020
Ivan|Aretha|Mccormick|941-8783 Libero Ave|Newport News|VA|56764|tellus@semper.org|(930) 728-8235|12/08/2019|390|05/23/2020
Leslie|Armand|Clark|Ap #174-855 A St.|Auburn|Maine|51678|faucibus.lectus.a@consectetuer.net|(532) 256-2813|01/10/2021|304|06/12/2021
Britanni|Asher|Warner|7004 Sed Street|Olathe|Kansas|27797|nunc.ac@magnis.co.uk|(343) 738-8872|08/25/2020|387|05/28/2020
Daphne|Carla|Moon|Ap #405-5523 Cras Street|Topeka|Kansas|66915|amet.diam.eu@posuereat.co.uk|(809) 621-6546|10/30/2020|322|11/17/2020
Yuri|Xander|Watkins|P.O. Box 544, 8661 Aliquet. St.|Dover|Delaware|31914|tincidunt.aliquam@tristiquesenectuset.com|(989) 733-4015|04/30/2020|329|03/29/2021
Brady|Amy|Whitley|4399 Dapibus Road|Fort Worth|Texas|89524|Integer.in@odioAliquam.org|(269) 391-6032|10/31/2020|362|11/08/2021
Dakota|Barry|Kinney|Ap #653-1967 Vel Rd.|Tucson|AZ|86764|eros.Proin.ultrices@portaelit.net|(207) 979-1733|01/02/2021|371|04/23/2020
Marah|Channing|Simpson|9644 Maecenas Av.|Overland Park|KS|31759|nibh.dolor.nonummy@semper.ca|(356) 410-4611|09/03/2021|379|02/05/2020
Patrick|Leilani|Fischer|P.O. Box 840, 9780 Fusce Ave|Covington|KY|73694|gravida.Aliquam@duisemperet.edu|(622) 497-9754|05/09/2021|318|11/28/2020
Kadeem|Brody|Castro|Ap #801-6404 Mauris. Street|Vancouver|WA|70207|ante.blandit@lacusMaurisnon.net|(665) 688-0612|06/10/2021|337|04/23/2020
Eagan|Evangeline|Cole|351-1654 Magnis Street|Lafayette|Louisiana|44672|amet@Nullafacilisi.edu|(685) 214-6670|10/22/2021|346|10/09/2021
Melanie|Astra|Frazier|1462 Dictum Rd.|Rock Springs|Wyoming|40265|ligula.consectetuer@tristiquepellentesquetellus.ca|(403) 629-5308|02/10/2021|304|09/21/2021
Yael|Brian|Greene|Ap #349-2121 Dictum. Ave|Tallahassee|FL|33190|sem.magna.nec@convalliserat.org|(486) 165-8999|07/12/2021|348|12/28/2019
Kaden|Cain|Wagner|P.O. Box 279, 2350 Ornare St.|Nampa|ID|44780|mauris.elit.dictum@scelerisquelorem.org|(440) 926-8534|12/15/2019|397|06/03/2021
Fiona|Melodie|Mccray|839-8809 Enim St.|Flint|Michigan|99659|a.facilisis@sem.net|(982) 230-3876|10/03/2021|397|09/27/2021
George|Talon|Woodward|9480 Id St.|Columbia|MD|70884|tempor.est@enimCurabitur.co.uk|(498) 534-4084|07/02/2020|334|10/26/2021
Jorden|Tyrone|Pickett|P.O. Box 893, 3793 Scelerisque Road|Bowling Green|Kentucky|55761|justo.Proin@Maurisvestibulumneque.co.uk|(977) 497-3941|10/30/2021|315|11/14/2020
Axel|Shannon|Bradley|105-4473 Bibendum St.|Southaven|MS|66004|tempor@turpisnon.org|(961) 935-9847|04/04/2020|375|08/01/2021
Kiara|Violet|Knowles|P.O. Box 805, 5255 Gravida Avenue|Casper|WY|13982|sociis.natoque@anteNunc.org|(500) 154-5536|03/08/2020|343|01/06/2020
Ian|Willow|Parrish|979-6060 Donec Ave|Eugene|Oregon|73896|tincidunt.pede@interdumfeugiat.org|(848) 259-5128|03/31/2021|308|02/28/2020
Aquila|Lisandra|Donovan|P.O. Box 198, 3864 Sit Avenue|Henderson|Nevada|18362|nisl@sitamet.edu|(707) 405-1641|02/02/2020|397|02/24/2021
Rhoda|Warren|Garrison|300-3151 Augue. Road|Hartford|Connecticut|68785|eget.odio.Aliquam@lectus.co.uk|(447) 980-4454|03/16/2021|347|01/12/2020
Florence|Lareina|Dickerson|8671 Mi Av.|Louisville|KY|15730|eu.erat.semper@nec.co.uk|(375) 929-8634|06/14/2020|328|11/05/2021
Marshall|Felix|Ingram|P.O. Box 636, 2066 Ac St.|Virginia Beach|Virginia|96597|justo.eu.arcu@hymenaeosMauris.net|(483) 820-3550|11/01/2021|303|11/12/2021
Teagan|Marcia|Potter|201-6946 Nonummy Rd.|Gaithersburg|Maryland|67700|vestibulum.nec.euismod@netuset.org|(650) 256-5878|04/09/2021|366|08/02/2021
Ruby|Hedwig|Tate|4874 Nam St.|Norfolk|Virginia|73773|Phasellus.in@libero.org|(284) 373-0126|07/21/2020|379|09/06/2021
Maia|Marcia|Delgado|P.O. Box 811, 2525 Fames Av.|South Burlington|Vermont|14840|orci.in@velturpisAliquam.edu|(582) 959-6806|03/15/2021|320|09/15/2020
Nero|Plato|Wiley|5671 Mi. Street|Topeka|KS|27833|rhoncus.id.mollis@orciPhasellusdapibus.net|(301) 564-9174|05/10/2021|323|04/24/2021
Iris|Dieter|Byers|600-187 Eu, Rd.|Cincinnati|OH|75919|eget.laoreet@eratSednunc.co.uk|(549) 995-7028|01/11/2021|347|08/15/2021
Kyra|Callum|Miles|801-792 Donec St.|Columbus|Georgia|64855|nibh.dolor.nonummy@Quisque.edu|(332) 945-3317|03/30/2020|303|02/14/2020
Whitney|Caleb|Baird|Ap #275-632 Aenean Rd.|Erie|PA|12700|consectetuer@semperNamtempor.edu|(775) 754-6141|06/30/2021|337|10/19/2020
Raja|Dominique|Alford|8612 Integer St.|West Jordan|Utah|51596|et.malesuada@tellusjustosit.edu|(172) 570-2621|05/12/2020|372|11/08/2021
Hilary|Burke|Terry|P.O. Box 781, 8994 Dictum St.|New Orleans|LA|88602|Cras.eu@Etiamligulatortor.net|(667) 303-7696|01/16/2021|366|01/31/2021
Shafira|Blossom|Dale|P.O. Box 470, 7706 Id, St.|Vancouver|WA|13949|sociis.natoque@mieleifend.ca|(525) 215-3330|11/09/2020|388|06/09/2021
May|Stacy|Morin|7547 Phasellus Street|Lafayette|LA|73132|id.magna@aauctornon.com|(325) 142-3342|06/09/2020|332|09/14/2021
